geometry,tile,year,label,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63
POINT (-61.20442117950909 -8.2322061794355),C51L41,2024,CORTE SELETIVO,-0.04822760476739715,-0.04822760476739715,-0.186082276047674,-0.0629911572472126,-0.08882737408688965,-0.05536332179930796,-0.007443291041906958,0.09356401384083046,-0.08882737408688965,0.12456747404844293,0.07972318339100345,0.13588619761630144,0.019930795847750864,-0.0629911572472126,-0.029773164167627833,-0.15378700499807765,-0.13588619761630144,-0.0629911572472126,0.07111111111111111,-0.05536332179930796,0.16000000000000003,0.019930795847750864,0.17279507881584008,0.3553094963475586,0.03543252595155709,0.07535563244905807,0.2288965782391388,-0.0005536332179930795,0.08421376393694734,-0.11374086889657825,0.17279507881584008,-0.19986159169550174,-0.15378700499807765,-0.08421376393694734,-0.13016532103037293,0.022206843521722412,-0.14173010380622836,0.022206843521722412,-0.19986159169550174,-0.01574778931180315,-0.08421376393694734,0.22145328719723184,0.12456747404844293,-0.022206843521722412,0.1929104190695886,-0.03543252595155709,-0.1085121107266436,-0.05911572472126105,-0.05536332179930796,-0.03543252595155709,0.2288965782391388,0.029773164167627833,0.006151480199923107,0.16633602460592078,0.017777777777777778,0.15378700499807765,0.044844290657439445,-0.044844290657439445,0.2364628988850442,-0.019930795847750864,0.17279507881584008,-0.22145328719723184,0.07972318339100345,-0.09842368319876971
POINT (-61.204061853395444 -8.23130786415138),C51L41,2024,CORTE SELETIVO,-0.017777777777777778,-0.03254133025759323,-0.17279507881584008,-0.07111111111111111,-0.07972318339100345,-0.05173394848135333,0.004982698961937716,0.10340638216070744,-0.07111111111111111,0.13016532103037293,0.08882737408688965,0.14769703960015382,0.041584006151480196,-0.0629911572472126,0.000984236831987697,-0.15378700499807765,-0.14769703960015382,-0.06698961937716265,0.07535563244905807,-0.0629911572472126,0.14173010380622836,0.019930795847750864,0.17279507881584008,0.34602076124567477,0.05173394848135333,0.05911572472126105,0.2288965782391388,0.0005536332179930795,0.08882737408688965,-0.10340638216070744,0.17279507881584008,-0.16000000000000003,-0.13588619761630144,-0.09356401384083046,-0.14769703960015382,0.029773164167627833,-0.16633602460592078,-0.012056901191849288,-0.21413302575932336,0.01574778931180315,-0.07111111111111111,0.2364628988850442,0.11374086889657825,-0.044844290657439445,0.186082276047674,-0.03844675124951941,-0.11374086889657825,-0.10340638216070744,-0.03543252595155709,-0.05536332179930796,0.2519646289888504,0.044844290657439445,0.003936947327950788,0.16000000000000003,-0.006151480199923107,0.14173010380622836,0.05911572472126105,-0.03543252595155709,0.2519646289888504,-0.01574778931180315,0.16000000000000003,-0.21413302575932336,0.07111111111111111,-0.10340638216070744
POINT (-61.203792358810205 -8.230858706509322),C51L41,2024,CORTE SELETIVO,-0.044844290657439445,-0.041584006151480196,-0.186082276047674,-0.08882737408688965,-0.08421376393694734,-0.05173394848135333,-0.010396001537870049,0.12456747404844293,-0.06698961937716265,0.11374086889657825,0.05536332179930796,0.10340638216070744,0.03844675124951941,-0.03844675124951941,-0.041584006151480196,-0.13588619761630144,-0.16000000000000003,-0.03844675124951941,0.09842368319876971,-0.07111111111111111,0.14769703960015382,0.05173394848135333,0.16633602460592078,0.33685505574778934,0.03543252595155709,0.1085121107266436,0.21413302575932336,0.029773164167627833,0.09356401384083046,-0.10340638216070744,0.17279507881584008,-0.1929104190695886,-0.15378700499807765,-0.09356401384083046,-0.14173010380622836,0.006151480199923107,-0.16633602460592078,0.05911572472126105,-0.17279507881584008,-0.01574778931180315,-0.05911572472126105,0.19986159169550174,0.14769703960015382,-0.008858131487889272,0.16633602460592078,-0.044844290657439445,-0.13016532103037293,-0.03844675124951941,-0.05911572472126105,-0.05536332179930796,0.21413302575932336,0.04822760476739715,0.03254133025759323,0.17937716262975778,0.0271280276816609,0.17937716262975778,0.04822760476739715,-0.006151480199923107,0.24415224913494812,0.010396001537870049,0.2069357939254133,-0.21413302575932336,0.07972318339100345,-0.14769703960015382
POINT (-61.19974994003167 -8.239392701708457),C51L41,2024,CORTE SELETIVO,-0.01574778931180315,-0.07972318339100345,-0.16633602460592078,-0.08882737408688965,-0.07111111111111111,-0.022206843521722412,-0.010396001537870049,0.10340638216070744,-0.0629911572472126,0.15378700499807765,0.06698961937716265,0.16000000000000003,0.05911572472126105,-0.03254133025759323,-0.041584006151480196,-0.12456747404844293,-0.16000000000000003,-0.019930795847750864,0.07111111111111111,-0.1085121107266436,0.13588619761630144,0.04822760476739715,0.11374086889657825,0.34602076124567477,0.003936947327950788,0.044844290657439445,0.186082276047674,0.0629911572472126,0.10340638216070744,-0.07972318339100345,0.13588619761630144,-0.186082276047674,-0.1929104190695886,-0.05911572472126105,-0.1929104190695886,0.03543252595155709,-0.14173010380622836,0.008858131487889272,-0.15378700499807765,0.06698961937716265,-0.041584006151480196,0.2599000384467512,0.16633602460592078,-0.029773164167627833,0.15378700499807765,-0.029773164167627833,-0.11374086889657825,-0.08421376393694734,-0.08421376393694734,-0.07111111111111111,0.2288965782391388,0.04822760476739715,0.041584006151480196,0.11374086889657825,-0.004982698961937716,0.186082276047674,0.03543252595155709,-0.01384083044982699,0.2519646289888504,0.019930795847750864,0.17279507881584008,-0.19986159169550174,0.08882737408688965,-0.16000000000000003
POINT (-61.19759398334978 -8.238943544066398),C51L41,2024,CORTE SELETIVO,-0.029773164167627833,-0.03543252595155709,-0.17279507881584008,-0.044844290657439445,-0.10340638216070744,-0.01384083044982699,0.041584006151480196,0.13588619761630144,-0.09356401384083046,0.09842368319876971,0.08421376393694734,0.15378700499807765,0.05536332179930796,-0.0629911572472126,-0.01574778931180315,-0.17937716262975778,-0.14769703960015382,-0.03543252595155709,0.10340638216070744,0.004982698961937716,0.14173010380622836,0.05911572472126105,0.15378700499807765,0.3278123798539023,0.03844675124951941,0.13588619761630144,0.22145328719723184,-0.01574778931180315,0.08421376393694734,-0.04822760476739715,0.15378700499807765,-0.186082276047674,-0.11374086889657825,-0.07972318339100345,-0.15378700499807765,0.03543252595155709,-0.14769703960015382,-0.017777777777777778,-0.2069357939254133,-0.03254133025759323,-0.11374086889657825,0.19986159169550174,0.11909265667051133,-0.029773164167627833,0.13588619761630144,-0.03844675124951941,-0.11909265667051133,-0.09842368319876971,-0.05173394848135333,-0.01574778931180315,0.186082276047674,0.007443291041906958,-0.01384083044982699,0.19986159169550174,0.041584006151480196,0.16633602460592078,0.03543252595155709,-0.024605920799692427,0.2679584775086506,-0.006151480199923107,0.17279507881584008,-0.19986159169550174,0.09842368319876971,-0.186082276047674
POINT (-61.19759398334978 -8.238314723367514),C51L41,2024,CORTE SELETIVO,-0.07972318339100345,0.010396001537870049,-0.17279507881584008,-0.029773164167627833,-0.11374086889657825,0.008858131487889272,0.05173394848135333,0.17937716262975778,-0.08882737408688965,0.05911572472126105,0.08882737408688965,0.12456747404844293,0.08421376393694734,-0.09842368319876971,0.007443291041906958,-0.15378700499807765,-0.13588619761630144,-0.05536332179930796,0.10340638216070744,-0.0005536332179930795,0.11909265667051133,0.03254133025759323,0.11909265667051133,0.33685505574778934,0.04822760476739715,0.19986159169550174,0.2364628988850442,-0.0271280276816609,0.07535563244905807,-0.024605920799692427,0.12456747404844293,-0.15378700499807765,-0.05173394848135333,-0.05911572472126105,-0.16000000000000003,0.044844290657439445,-0.14769703960015382,-0.017777777777777778,-0.1929104190695886,-0.029773164167627833,-0.11909265667051133,0.19986159169550174,0.07972318339100345,-0.003936947327950788,0.15378700499807765,-0.07111111111111111,-0.09842368319876971,-0.07972318339100345,-0.03254133025759323,-0.0005536332179930795,0.17279507881584008,-0.002214532871972318,-0.05536332179930796,0.24415224913494812,0.0629911572472126,0.14173010380622836,0.05173394848135333,-0.05173394848135333,0.29287197231833906,-0.022206843521722412,0.14769703960015382,-0.1929104190695886,0.09356401384083046,-0.2069357939254133
POINT (-61.19750415182137 -8.236607924327686),C51L41,2024,CORTE SELETIVO,-0.041584006151480196,-0.007443291041906958,-0.12456747404844293,-0.03543252595155709,-0.0629911572472126,0.05536332179930796,0.07972318339100345,0.17937716262975778,-0.14173010380622836,0.08421376393694734,0.06698961937716265,0.11909265667051133,0.05536332179930796,-0.05173394848135333,-0.03844675124951941,-0.1929104190695886,-0.13588619761630144,-0.03844675124951941,0.04822760476739715,0.05536332179930796,0.14173010380622836,0.08882737408688965,0.08882737408688965,0.33685505574778934,0.019930795847750864,0.09356401384083046,0.2288965782391388,0.024605920799692427,0.05536332179930796,-0.07972318339100345,0.14769703960015382,-0.16000000000000003,-0.07111111111111111,-0.044844290657439445,-0.17937716262975778,0.08882737408688965,-0.13016532103037293,-0.041584006151480196,-0.2519646289888504,-0.07111111111111111,-0.16000000000000003,0.2069357939254133,0.08882737408688965,-0.010396001537870049,0.16633602460592078,0.004982698961937716,-0.12456747404844293,-0.13016532103037293,-0.07111111111111111,-0.0271280276816609,0.15378700499807765,0.01574778931180315,-0.041584006151480196,0.2069357939254133,0.07111111111111111,0.14173010380622836,0.05911572472126105,-0.012056901191849288,0.29287197231833906,0.007443291041906958,0.11909265667051133,-0.16633602460592078,0.07972318339100345,-0.21413302575932336
POINT (-61.19948044544643 -8.236158766685627),C51L41,2024,CORTE SELETIVO,-0.05536332179930796,-0.0271280276816609,-0.17937716262975778,-0.08882737408688965,-0.08421376393694734,-0.05536332179930796,0.003936947327950788,0.1085121107266436,-0.08421376393694734,0.09356401384083046,0.09356401384083046,0.11909265667051133,0.05173394848135333,-0.041584006151480196,-0.0271280276816609,-0.15378700499807765,-0.13588619761630144,-0.06698961937716265,0.07535563244905807,-0.09842368319876971,0.13016532103037293,0.022206843521722412,0.17279507881584008,0.3278123798539023,0.022206843521722412,0.07535563244905807,0.21413302575932336,0.0015378700499807767,0.07972318339100345,-0.08421376393694734,0.16633602460592078,-0.186082276047674,-0.17279507881584008,-0.05536332179930796,-0.16000000000000003,0.024605920799692427,-0.16000000000000003,0.03543252595155709,-0.19986159169550174,0.029773164167627833,-0.029773164167627833,0.2288965782391388,0.13016532103037293,-0.03254133025759323,0.1929104190695886,-0.03844675124951941,-0.11374086889657825,-0.07111111111111111,-0.05536332179930796,-0.0629911572472126,0.2364628988850442,0.04822760476739715,0.022206843521722412,0.17937716262975778,0.01574778931180315,0.16633602460592078,0.04822760476739715,-0.029773164167627833,0.2679584775086506,-0.019930795847750864,0.1929104190695886,-0.21413302575932336,0.09356401384083046,-0.08882737408688965
POINT (-61.19966010850326 -8.235979103628804),C51L41,2024,CORTE SELETIVO,-0.0271280276816609,-0.04822760476739715,-0.16633602460592078,-0.10340638216070744,-0.07535563244905807,-0.022206843521722412,0.0015378700499807767,0.1085121107266436,-0.06698961937716265,0.1085121107266436,0.07535563244905807,0.15378700499807765,0.05911572472126105,-0.03254133025759323,-0.04822760476739715,-0.14173010380622836,-0.16000000000000003,-0.024605920799692427,0.09356401384083046,-0.08421376393694734,0.11909265667051133,0.05911572472126105,0.13588619761630144,0.33685505574778934,0.003936947327950788,0.03844675124951941,0.1929104190695886,0.05173394848135333,0.09356401384083046,-0.11374086889657825,0.15378700499807765,-0.17279507881584008,-0.17937716262975778,-0.044844290657439445,-0.15378700499807765,0.044844290657439445,-0.16633602460592078,0.01384083044982699,-0.2069357939254133,0.024605920799692427,-0.05536332179930796,0.2519646289888504,0.14769703960015382,-0.017777777777777778,0.16633602460592078,-0.022206843521722412,-0.13016532103037293,-0.1085121107266436,-0.06698961937716265,-0.04822760476739715,0.22145328719723184,0.04822760476739715,0.03543252595155709,0.13588619761630144,0.01574778931180315,0.17937716262975778,0.044844290657439445,-0.017777777777777778,0.2679584775086506,-0.002214532871972318,0.1929104190695886,-0.1929104190695886,0.08882737408688965,-0.15378700499807765
POINT (-61.19750415182137 -8.235709609043568),C51L41,2024,CORTE SELETIVO,-0.0271280276816609,-0.022206843521722412,-0.17279507881584008,-0.022206843521722412,-0.04822760476739715,0.019930795847750864,0.09356401384083046,0.15378700499807765,-0.13588619761630144,0.09842368319876971,0.06698961937716265,0.14173010380622836,0.07535563244905807,-0.07535563244905807,-0.03254133025759323,-0.17937716262975778,-0.15378700499807765,-0.05536332179930796,0.0271280276816609,0.05173394848135333,0.17937716262975778,0.10340638216070744,0.03543252595155709,0.36472126105344094,0.01384083044982699,0.13588619761630144,0.21413302575932336,0.04822760476739715,0.10340638216070744,-0.05536332179930796,0.14173010380622836,-0.17937716262975778,-0.08882737408688965,-0.041584006151480196,-0.21413302575932336,0.08421376393694734,-0.14769703960015382,-0.01384083044982699,-0.17279507881584008,-0.04822760476739715,-0.13588619761630144,0.2069357939254133,0.09356401384083046,0.01384083044982699,0.16633602460592078,-0.017777777777777778,-0.08882737408688965,-0.12456747404844293,-0.08882737408688965,-0.041584006151480196,0.13588619761630144,0.007443291041906958,-0.03254133025759323,0.2288965782391388,0.044844290657439445,0.11909265667051133,0.022206843521722412,-0.019930795847750864,0.24415224913494812,-0.017777777777777778,0.09842368319876971,-0.17279507881584008,0.07535563244905807,-0.2288965782391388
POINT (-61.19840246710549 -8.235619777515154),C51L41,2024,CORTE SELETIVO,-0.0271280276816609,-0.04822760476739715,-0.19986159169550174,-0.09356401384083046,-0.07535563244905807,-0.044844290657439445,-0.002214532871972318,0.11374086889657825,-0.07972318339100345,0.11909265667051133,0.06698961937716265,0.13016532103037293,0.08421376393694734,-0.041584006151480196,-0.05911572472126105,-0.10340638216070744,-0.16633602460592078,-0.041584006151480196,0.08882737408688965,-0.07535563244905807,0.14769703960015382,0.04822760476739715,0.08882737408688965,0.3278123798539023,-0.000984236831987697,0.10340638216070744,0.186082276047674,0.041584006151480196,0.1085121107266436,-0.07111111111111111,0.14769703960015382,-0.1929104190695886,-0.17937716262975778,-0.07972318339100345,-0.1929104190695886,0.007443291041906958,-0.17279507881584008,0.03254133025759323,-0.13016532103037293,0.05173394848135333,-0.041584006151480196,0.2519646289888504,0.14769703960015382,-0.006151480199923107,0.14769703960015382,-0.05173394848135333,-0.12456747404844293,-0.041584006151480196,-0.08882737408688965,-0.08421376393694734,0.19986159169550174,0.03543252595155709,0.03543252595155709,0.16633602460592078,0.012056901191849288,0.17937716262975778,0.0271280276816609,-0.012056901191849288,0.2519646289888504,0.010396001537870049,0.19986159169550174,-0.21413302575932336,0.09356401384083046,-0.16633602460592078
POINT (-61.20100758142944 -8.235619777515154),C51L41,2024,CORTE SELETIVO,-0.05536332179930796,-0.041584006151480196,-0.19986159169550174,-0.07111111111111111,-0.07972318339100345,-0.06698961937716265,-0.029773164167627833,0.11909265667051133,-0.07535563244905807,0.08882737408688965,0.1085121107266436,0.10340638216070744,0.05911572472126105,-0.04822760476739715,-0.024605920799692427,-0.12456747404844293,-0.14173010380622836,-0.044844290657439445,0.08882737408688965,-0.08421376393694734,0.14769703960015382,0.029773164167627833,0.13588619761630144,0.31009611687812383,0.008858131487889272,0.12456747404844293,0.2288965782391388,0.017777777777777778,0.09356401384083046,-0.07111111111111111,0.16633602460592078,-0.19986159169550174,-0.186082276047674,-0.04822760476739715,-0.16000000000000003,0.00024605920799692423,-0.16000000000000003,0.041584006151480196,-0.15378700499807765,0.029773164167627833,-0.03254133025759323,0.22145328719723184,0.13588619761630144,-0.008858131487889272,0.15378700499807765,-0.041584006151480196,-0.09356401384083046,-0.024605920799692427,-0.0629911572472126,-0.06698961937716265,0.1929104190695886,0.019930795847750864,0.022206843521722412,0.19986159169550174,0.03844675124951941,0.17279507881584008,0.044844290657439445,-0.019930795847750864,0.2761399461745483,0.0015378700499807767,0.22145328719723184,-0.21413302575932336,0.11374086889657825,-0.13588619761630144
POINT (-61.19777364640661 -8.234990956816272),C51L41,2024,CORTE SELETIVO,-0.03844675124951941,-0.012056901191849288,-0.19986159169550174,-0.05173394848135333,-0.07111111111111111,0.04822760476739715,0.019930795847750864,0.11374086889657825,-0.10340638216070744,0.0629911572472126,0.07111111111111111,0.08421376393694734,0.05536332179930796,-0.029773164167627833,-0.05911572472126105,-0.13588619761630144,-0.11909265667051133,-0.05536332179930796,0.05173394848135333,-0.01384083044982699,0.13588619761630144,0.05911572472126105,-0.01384083044982699,0.34602076124567477,-0.04822760476739715,0.2288965782391388,0.2069357939254133,0.04822760476739715,0.12456747404844293,-0.04822760476739715,0.11909265667051133,-0.16000000000000003,-0.08421376393694734,-0.019930795847750864,-0.2069357939254133,0.05911572472126105,-0.2288965782391388,0.05911572472126105,-0.08421376393694734,-0.012056901191849288,-0.08882737408688965,0.22145328719723184,0.07535563244905807,0.05911572472126105,0.13016532103037293,-0.03543252595155709,-0.08421376393694734,-0.03844675124951941,-0.13016532103037293,-0.05911572472126105,0.09356401384083046,0.01574778931180315,-0.044844290657439445,0.28444444444444444,0.05173394848135333,0.13588619761630144,0.006151480199923107,-0.024605920799692427,0.29287197231833906,-0.03254133025759323,0.17937716262975778,-0.17279507881584008,0.13016532103037293,-0.2364628988850442
POINT (-61.199031287804374 -8.234990956816272),C51L41,2024,CORTE SELETIVO,-0.01574778931180315,-0.05911572472126105,-0.2069357939254133,-0.07972318339100345,-0.07972318339100345,-0.09356401384083046,-0.006151480199923107,0.08882737408688965,-0.09842368319876971,0.15378700499807765,0.0629911572472126,0.14173010380622836,0.0271280276816609,-0.03543252595155709,-0.06698961937716265,-0.14769703960015382,-0.14769703960015382,-0.041584006151480196,0.09356401384083046,-0.041584006151480196,0.15378700499807765,0.04822760476739715,0.16000000000000003,0.3553094963475586,0.05536332179930796,0.0629911572472126,0.17937716262975778,0.03254133025759323,0.07972318339100345,-0.09842368319876971,0.17937716262975778,-0.2069357939254133,-0.186082276047674,-0.09356401384083046,-0.16633602460592078,-0.01574778931180315,-0.16000000000000003,0.006151480199923107,-0.13588619761630144,-0.007443291041906958,-0.08882737408688965,0.22145328719723184,0.13016532103037293,-0.03254133025759323,0.14769703960015382,-0.029773164167627833,-0.10340638216070744,-0.07111111111111111,-0.07111111111111111,-0.04822760476739715,0.22145328719723184,0.029773164167627833,0.05536332179930796,0.14173010380622836,0.01384083044982699,0.16633602460592078,0.029773164167627833,0.004982698961937716,0.2288965782391388,0.0005536332179930795,0.186082276047674,-0.21413302575932336,0.05911572472126105,-0.13016532103037293
