geometry,tile,year,label,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63
POINT (-61.22229765366307 -9.996677060503066),C51L34,2024,CORTE SELETIVO,-0.07535563244905807,-0.03254133025759323,-0.14769703960015382,-0.044844290657439445,-0.05536332179930796,0.024605920799692427,-0.004982698961937716,0.14173010380622836,-0.0629911572472126,0.07535563244905807,0.07111111111111111,0.15378700499807765,0.07535563244905807,-0.05911572472126105,0.008858131487889272,-0.10340638216070744,-0.16000000000000003,-0.0629911572472126,0.044844290657439445,-0.08421376393694734,0.186082276047674,0.000984236831987697,0.13588619761630144,0.33685505574778934,0.010396001537870049,0.03543252595155709,0.2519646289888504,0.022206843521722412,0.05536332179930796,-0.14769703960015382,0.14173010380622836,-0.15378700499807765,-0.12456747404844293,-0.024605920799692427,-0.10340638216070744,0.05911572472126105,-0.11374086889657825,0.006151480199923107,-0.2761399461745483,0.006151480199923107,-0.03844675124951941,0.24415224913494812,0.12456747404844293,-0.010396001537870049,0.2364628988850442,0.008858131487889272,-0.07111111111111111,-0.07972318339100345,-0.09842368319876971,-0.05911572472126105,0.21413302575932336,0.004982698961937716,-0.05911572472126105,0.14769703960015382,0.03543252595155709,0.14769703960015382,0.07535563244905807,-0.0271280276816609,0.2364628988850442,-0.03254133025759323,0.14173010380622836,-0.2288965782391388,0.13016532103037293,-0.16000000000000003
POINT (-61.22229765366307 -9.996587228974652),C51L34,2024,CORTE SELETIVO,-0.07535563244905807,-0.03254133025759323,-0.14769703960015382,-0.044844290657439445,-0.05536332179930796,0.024605920799692427,-0.004982698961937716,0.14173010380622836,-0.0629911572472126,0.07535563244905807,0.07111111111111111,0.15378700499807765,0.07535563244905807,-0.05911572472126105,0.008858131487889272,-0.10340638216070744,-0.16000000000000003,-0.0629911572472126,0.044844290657439445,-0.08421376393694734,0.186082276047674,0.000984236831987697,0.13588619761630144,0.33685505574778934,0.010396001537870049,0.03543252595155709,0.2519646289888504,0.022206843521722412,0.05536332179930796,-0.14769703960015382,0.14173010380622836,-0.15378700499807765,-0.12456747404844293,-0.024605920799692427,-0.10340638216070744,0.05911572472126105,-0.11374086889657825,0.006151480199923107,-0.2761399461745483,0.006151480199923107,-0.03844675124951941,0.24415224913494812,0.12456747404844293,-0.010396001537870049,0.2364628988850442,0.008858131487889272,-0.07111111111111111,-0.07972318339100345,-0.09842368319876971,-0.05911572472126105,0.21413302575932336,0.004982698961937716,-0.05911572472126105,0.14769703960015382,0.03543252595155709,0.14769703960015382,0.07535563244905807,-0.0271280276816609,0.2364628988850442,-0.03254133025759323,0.14173010380622836,-0.2288965782391388,0.13016532103037293,-0.16000000000000003
POINT (-61.2225671482483 -9.996227902861005),C51L34,2024,CORTE SELETIVO,-0.07535563244905807,-0.002214532871972318,-0.11374086889657825,-0.041584006151480196,-0.029773164167627833,0.0629911572472126,0.012056901191849288,0.186082276047674,-0.07535563244905807,0.06698961937716265,0.05536332179930796,0.14769703960015382,0.06698961937716265,-0.05536332179930796,-0.007443291041906958,-0.12456747404844293,-0.16000000000000003,-0.05911572472126105,0.06698961937716265,-0.05536332179930796,0.17279507881584008,-6.151480199923106e-05,0.13016532103037293,0.31009611687812383,-0.002214532871972318,0.029773164167627833,0.24415224913494812,0.029773164167627833,0.0271280276816609,-0.16000000000000003,0.13016532103037293,-0.13588619761630144,-0.1085121107266436,-0.017777777777777778,-0.10340638216070744,0.08882737408688965,-0.11374086889657825,-0.0005536332179930795,-0.31009611687812383,0.008858131487889272,-0.05911572472126105,0.2288965782391388,0.10340638216070744,0.008858131487889272,0.2679584775086506,0.01384083044982699,-0.09356401384083046,-0.09356401384083046,-0.08421376393694734,-0.044844290657439445,0.21413302575932336,0.01574778931180315,-0.06698961937716265,0.16000000000000003,0.05173394848135333,0.14769703960015382,0.06698961937716265,-0.01384083044982699,0.2519646289888504,-0.01574778931180315,0.13588619761630144,-0.21413302575932336,0.1085121107266436,-0.17937716262975778
POINT (-61.22238748519148 -9.996227902861005),C51L34,2024,CORTE SELETIVO,-0.06698961937716265,-0.03254133025759323,-0.14173010380622836,-0.06698961937716265,-0.03844675124951941,0.017777777777777778,-0.003936947327950788,0.16633602460592078,-0.0629911572472126,0.07111111111111111,0.05173394848135333,0.13588619761630144,0.07972318339100345,-0.041584006151480196,-0.03254133025759323,-0.09842368319876971,-0.17279507881584008,-0.05911572472126105,0.07111111111111111,-0.09356401384083046,0.17937716262975778,0.003936947327950788,0.1085121107266436,0.31009611687812383,-0.012056901191849288,0.041584006151480196,0.2364628988850442,0.044844290657439445,0.0629911572472126,-0.14173010380622836,0.13016532103037293,-0.17279507881584008,-0.16633602460592078,-0.024605920799692427,-0.11909265667051133,0.05911572472126105,-0.11374086889657825,0.022206843521722412,-0.2599000384467512,0.04822760476739715,-0.01574778931180315,0.2599000384467512,0.13016532103037293,0.008858131487889272,0.2364628988850442,-0.008858131487889272,-0.10340638216070744,-0.07111111111111111,-0.11374086889657825,-0.08421376393694734,0.2069357939254133,0.0271280276816609,-0.04822760476739715,0.15378700499807765,0.022206843521722412,0.16633602460592078,0.05536332179930796,-0.01384083044982699,0.2288965782391388,-0.004982698961937716,0.15378700499807765,-0.2364628988850442,0.1085121107266436,-0.16633602460592078
POINT (-61.222477316719896 -9.995868576747357),C51L34,2024,CORTE SELETIVO,-0.07535563244905807,-0.041584006151480196,-0.1085121107266436,-0.004982698961937716,-0.05911572472126105,0.05536332179930796,0.0271280276816609,0.186082276047674,-0.0629911572472126,0.0629911572472126,0.08882737408688965,0.14173010380622836,0.07972318339100345,-0.0629911572472126,0.044844290657439445,-0.09842368319876971,-0.15378700499807765,-0.06698961937716265,0.03254133025759323,-0.08421376393694734,0.17279507881584008,-0.03254133025759323,0.12456747404844293,0.3014225297962323,-0.012056901191849288,0.04822760476739715,0.2364628988850442,0.0005536332179930795,0.04822760476739715,-0.07972318339100345,0.07972318339100345,-0.14769703960015382,-0.1085121107266436,-0.010396001537870049,-0.13016532103037293,0.05536332179930796,-0.07535563244905807,-0.007443291041906958,-0.31009611687812383,0.022206843521722412,-0.04822760476739715,0.2288965782391388,0.10340638216070744,0.004982698961937716,0.22145328719723184,-0.008858131487889272,-0.07535563244905807,-0.07111111111111111,-0.07972318339100345,-0.1085121107266436,0.22145328719723184,-0.006151480199923107,-0.09356401384083046,0.14173010380622836,0.044844290657439445,0.13016532103037293,0.0629911572472126,-0.01574778931180315,0.29287197231833906,0.01574778931180315,0.13588619761630144,-0.2519646289888504,0.17279507881584008,-0.186082276047674
POINT (-61.2225671482483 -9.995778745218946),C51L34,2024,CORTE SELETIVO,-0.07111111111111111,-0.01574778931180315,-0.11374086889657825,0.003936947327950788,-0.044844290657439445,0.05536332179930796,0.01574778931180315,0.186082276047674,-0.07972318339100345,0.05911572472126105,0.08421376393694734,0.16000000000000003,0.07111111111111111,-0.07535563244905807,0.024605920799692427,-0.11909265667051133,-0.17279507881584008,-0.044844290657439445,0.03844675124951941,-0.03844675124951941,0.17279507881584008,-0.012056901191849288,0.14173010380622836,0.3278123798539023,-0.003936947327950788,0.0271280276816609,0.2288965782391388,0.019930795847750864,0.029773164167627833,-0.13016532103037293,0.1085121107266436,-0.14173010380622836,-0.08882737408688965,0.0005536332179930795,-0.1085121107266436,0.07111111111111111,-0.07535563244905807,-0.019930795847750864,-0.3278123798539023,0.008858131487889272,-0.07972318339100345,0.22145328719723184,0.1085121107266436,0.017777777777777778,0.2364628988850442,0.007443291041906958,-0.07972318339100345,-0.10340638216070744,-0.07972318339100345,-0.05536332179930796,0.19986159169550174,-0.006151480199923107,-0.07535563244905807,0.14173010380622836,0.04822760476739715,0.13016532103037293,0.04822760476739715,-0.022206843521722412,0.2679584775086506,-0.0015378700499807767,0.11374086889657825,-0.2364628988850442,0.14173010380622836,-0.2069357939254133
POINT (-61.2225671482483 -9.995778745218946),C51L34,2024,CORTE SELETIVO,-0.07111111111111111,-0.01574778931180315,-0.11374086889657825,0.003936947327950788,-0.044844290657439445,0.05536332179930796,0.01574778931180315,0.186082276047674,-0.07972318339100345,0.05911572472126105,0.08421376393694734,0.16000000000000003,0.07111111111111111,-0.07535563244905807,0.024605920799692427,-0.11909265667051133,-0.17279507881584008,-0.044844290657439445,0.03844675124951941,-0.03844675124951941,0.17279507881584008,-0.012056901191849288,0.14173010380622836,0.3278123798539023,-0.003936947327950788,0.0271280276816609,0.2288965782391388,0.019930795847750864,0.029773164167627833,-0.13016532103037293,0.1085121107266436,-0.14173010380622836,-0.08882737408688965,0.0005536332179930795,-0.1085121107266436,0.07111111111111111,-0.07535563244905807,-0.019930795847750864,-0.3278123798539023,0.008858131487889272,-0.07972318339100345,0.22145328719723184,0.1085121107266436,0.017777777777777778,0.2364628988850442,0.007443291041906958,-0.07972318339100345,-0.10340638216070744,-0.07972318339100345,-0.05536332179930796,0.19986159169550174,-0.006151480199923107,-0.07535563244905807,0.14173010380622836,0.04822760476739715,0.13016532103037293,0.04822760476739715,-0.022206843521722412,0.2679584775086506,-0.0015378700499807767,0.11374086889657825,-0.2364628988850442,0.14173010380622836,-0.2069357939254133
POINT (-61.22319596894719 -9.994071946179119),C51L34,2024,CORTE SELETIVO,-0.06698961937716265,-0.03844675124951941,-0.16000000000000003,-0.0629911572472126,-0.03254133025759323,-0.024605920799692427,-0.022206843521722412,0.15378700499807765,-0.07111111111111111,0.09356401384083046,0.03844675124951941,0.14769703960015382,0.0629911572472126,-0.05173394848135333,-0.03254133025759323,-0.12456747404844293,-0.17937716262975778,-0.029773164167627833,0.08882737408688965,-0.07535563244905807,0.1929104190695886,0.029773164167627833,0.15378700499807765,0.3188927335640138,0.022206843521722412,0.01574778931180315,0.2288965782391388,0.041584006151480196,0.0629911572472126,-0.14769703960015382,0.14769703960015382,-0.17937716262975778,-0.14769703960015382,-0.029773164167627833,-0.13016532103037293,0.010396001537870049,-0.12456747404844293,0.024605920799692427,-0.2519646289888504,0.010396001537870049,-0.041584006151480196,0.2364628988850442,0.13588619761630144,-0.006151480199923107,0.22145328719723184,0.010396001537870049,-0.08421376393694734,-0.07111111111111111,-0.08882737408688965,-0.0629911572472126,0.22145328719723184,0.019930795847750864,-0.01574778931180315,0.12456747404844293,0.01384083044982699,0.16000000000000003,0.05911572472126105,-0.01384083044982699,0.2288965782391388,-0.019930795847750864,0.14173010380622836,-0.24415224913494812,0.1085121107266436,-0.15378700499807765
POINT (-61.22472310493019 -9.989670201286932),C51L34,2024,CORTE SELETIVO,-0.0629911572472126,-0.029773164167627833,-0.1085121107266436,-0.07972318339100345,-0.04822760476739715,0.024605920799692427,0.003936947327950788,0.15378700499807765,-0.044844290657439445,0.07972318339100345,0.05173394848135333,0.15378700499807765,0.09356401384083046,-0.07111111111111111,-0.01574778931180315,-0.11909265667051133,-0.16000000000000003,-0.012056901191849288,0.06698961937716265,-0.07972318339100345,0.13588619761630144,0.0629911572472126,0.07972318339100345,0.34602076124567477,-0.024605920799692427,0.0005536332179930795,0.19986159169550174,0.06698961937716265,0.09356401384083046,-0.14769703960015382,0.11909265667051133,-0.17937716262975778,-0.13016532103037293,0.022206843521722412,-0.13016532103037293,0.06698961937716265,-0.1085121107266436,0.007443291041906958,-0.29287197231833906,0.010396001537870049,-0.05911572472126105,0.2679584775086506,0.13016532103037293,0.003014225297962322,0.21413302575932336,0.006151480199923107,-0.11909265667051133,-0.11909265667051133,-0.09842368319876971,-0.05536332179930796,0.21413302575932336,0.024605920799692427,-0.03543252595155709,0.11374086889657825,0.024605920799692427,0.17937716262975778,0.06698961937716265,-0.01574778931180315,0.24415224913494812,0.01574778931180315,0.11374086889657825,-0.2288965782391388,0.13016532103037293,-0.186082276047674
POINT (-61.249157280658245 -9.982304015957153),C51L34,2024,CORTE SELETIVO,-0.09842368319876971,-0.04822760476739715,-0.11374086889657825,-0.05173394848135333,-0.07972318339100345,0.06698961937716265,-0.017777777777777778,0.12456747404844293,-0.11909265667051133,0.09356401384083046,0.041584006151480196,0.12456747404844293,0.008858131487889272,-0.024605920799692427,-0.04822760476739715,-0.14769703960015382,-0.12456747404844293,0.03543252595155709,0.010396001537870049,-0.006151480199923107,0.14173010380622836,0.07111111111111111,0.000984236831987697,0.3188927335640138,-0.012056901191849288,0.01574778931180315,0.22145328719723184,0.07535563244905807,0.06698961937716265,-0.13588619761630144,0.16633602460592078,-0.11909265667051133,-0.09842368319876971,0.0271280276816609,-0.16633602460592078,0.0629911572472126,-0.07972318339100345,-0.022206843521722412,-0.28444444444444444,0.05536332179930796,-0.1085121107266436,0.24415224913494812,0.11909265667051133,0.022206843521722412,0.04822760476739715,0.0629911572472126,-0.06698961937716265,-0.14173010380622836,-0.15378700499807765,-0.09842368319876971,0.186082276047674,0.0271280276816609,-0.002214532871972318,0.13588619761630144,0.05911572472126105,0.15378700499807765,0.0629911572472126,0.01574778931180315,0.3188927335640138,0.022206843521722412,0.15378700499807765,-0.21413302575932336,0.08882737408688965,-0.2599000384467512
