geometry,tile,label,year,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97,T98,T99,T100,T101,T102,T103,T104,T105,T106,T107,T108,T109,T110,T111,T112,T113,T114,T115,T116,T117,T118,T119,T120,T121,T122,T123,T124,T125,T126,T127
POINT (-61.222286 -9.996682),C51L34,CORTE SELETIVO,2024,0.46521398,-1.6614785,2.0602334,0.26583657,2.32607,0.66459143,-0.06645914,2.32607,0.59813225,5.117354,-0.39875484,-0.26583657,-3.6552527,-3.8546302,0.86396885,0.13291828,-3.0571206,4.0540075,-0.59813225,1.7943969,0.06645914,0.99688715,0.46521398,-0.86396885,4.785058,1.1962645,-8.440311,1.7943969,2.1266925,1.1962645,2.857743,-2.4589882,-2.5254474,0.0,4.186926,-0.93042797,2.0602334,-4.4527626,-1.1298054,-1.9273151,-2.392529,-2.6583657,2.5254474,3.9210894,2.5919065,-0.93042797,-0.7975097,-2.392529,0.46521398,-1.9273151,1.0633463,4.519222,0.86396885,2.1266925,0.59813225,-1.9937743,-0.73105055,-3.1900387,4.585681,-0.26583657,0.93042797,-1.8608559,2.9906614,3.788171,2.6583657,2.1266925,0.26583657,3.9875486,1.8608559,1.3956419,0.73105055,0.26583657,4.585681,-0.99688715,-6.5129957,0.39875484,-0.13291828,3.1900387,0.13291828,-1.5285603,-2.724825,-2.7912838,-2.9906614,-0.59813225,0.33229572,-0.06645914,2.9906614,-1.3291829,0.13291828,-1.5285603,-0.66459143,-1.1298054,0.53167313,0.0,1.6614785,2.857743,-0.73105055,0.39875484,5.183813,-1.1298054,-5.5825677,-4.9179764,-1.4621011,-2.4589882,2.32607,4.1204667,2.5254474,1.4621011,2.32607,1.4621011,2.4589882,-0.99688715,-0.26583657,-0.86396885,1.2627237,1.0633463,-1.8608559,1.3291829,-5.5825677,-6.7123733,1.5285603,-1.9937743,-7.3105054,4.718599,-3.788171,-2.392529,1.6614785,0.0
POINT (-61.222342 -9.99657),C51L34,CORTE SELETIVO,2024,2.8830538,-2.2731771,0.4989901,2.8276105,0.7762068,-0.22177337,-0.83165014,4.879014,1.607857,0.9979802,0.8870935,1.5524136,-2.7721672,-3.1602705,1.3860836,1.607857,-3.4374874,2.106847,-1.4969703,2.5503938,1.4969703,-0.22177337,0.94253683,-0.110886686,5.211674,2.106847,-5.7106643,4.158251,1.7187437,-0.055443343,2.0514038,-2.0514038,-3.6592605,1.3860836,-0.72076344,0.44354674,1.4415269,-5.987881,0.6653201,-3.3266006,-0.5544334,-3.6038172,1.8850737,3.1048272,-0.110886686,1.9959604,1.1643102,-2.7167237,-0.110886686,-3.215714,-0.16633002,4.3245807,0.110886686,2.7721672,-0.110886686,1.2751969,-2.4949505,0.055443343,7.0413046,3.6038172,0.16633002,0.22177337,2.7721672,4.8235707,1.1643102,1.0534235,1.6633003,4.3245807,1.774187,2.7721672,-0.110886686,-0.5544334,5.5997777,0.110886686,-3.1602705,-3.548374,-0.4989901,1.4969703,1.9959604,1.2197535,-4.3245807,-3.9364774,-0.33266005,0.3881034,1.6633003,-1.9959604,0.22177337,-0.9979802,1.4415269,0.83165014,-2.2731771,-2.5503938,-0.2772167,-0.055443343,2.3286204,0.055443343,1.2751969,1.0534235,4.879014,2.3286204,-4.989901,0.055443343,-0.4989901,0.2772167,1.607857,4.9344573,2.3840637,2.3840637,1.9959604,-0.055443343,2.7721672,-0.72076344,2.1622903,-1.0534235,4.1028075,-0.7762068,-1.8296303,2.5503938,-5.0453444,-6.375984,0.94253683,-2.7167237,-4.158251,3.714704,-1.5524136,-0.2772167,4.2691374,0.16633002
POINT (-61.222589 -9.99621),C51L34,CORTE SELETIVO,2024,2.8311822,-2.8311822,2.286724,1.470037,1.742266,-0.4355665,-0.16333744,3.0489657,0.92557883,3.7023153,0.16333744,-0.92557883,-3.4300864,-3.4300864,1.3611454,0.32667488,-2.5045075,3.756761,-0.3811207,1.9056035,-0.32667488,0.65334976,-0.21778326,-1.470037,5.009015,1.5244828,-6.37016,4.1378818,1.6878202,-0.27222908,2.7222908,-3.3211946,-3.5389779,0.27222908,1.0344704,-0.98002464,1.9600493,-5.4445815,-1.143362,-2.3956158,-0.054445814,-3.1578572,2.8311822,2.9945197,1.4155911,0.054445814,0.16333744,-2.613399,-0.21778326,-3.811207,0.4355665,4.900123,-1.470037,1.0344704,-0.49001232,0.21778326,-2.3956158,-1.6333745,4.4645567,0.98002464,1.3611454,-0.98002464,2.7767365,5.1179066,2.940074,1.742266,0.32667488,2.9945197,2.4500616,2.286724,1.6878202,0.21778326,4.410111,-1.9056035,-5.33569,-0.70779556,-0.4355665,2.8856282,2.4500616,0.27222908,-2.7767365,-3.484532,-1.6878202,-1.3066995,0.70779556,-0.32667488,1.4155911,-0.7622414,1.3611454,0.92557883,-1.0344704,-2.5045075,-0.21778326,-0.10889163,1.9600493,2.8856282,-0.65334976,1.0344704,3.811207,0.4355665,-5.6623645,-3.756761,-1.4155911,-0.7622414,1.5244828,3.9745445,2.8311822,2.7767365,3.2123032,2.286724,2.4500616,-1.8511577,0.3811207,-1.4155911,3.3756404,-0.054445814,-2.8856282,2.0144951,-6.9146185,-4.7912316,0.3811207,-2.667845,-5.281244,4.083436,-2.5589533,-0.8166872,2.8311822,-0.54445815
POINT (-61.222365 -9.996247),C51L34,CORTE SELETIVO,2024,0.060183316,0.84256643,3.1295323,2.0462327,4.152649,-0.7221998,-1.2036663,4.6942987,2.3471494,1.6851329,0.48146653,-0.60183316,-2.286966,-5.657232,5.5970483,2.7684326,-2.8887992,3.3100824,-1.8054996,-0.42128322,2.0462327,1.0231164,2.3471494,0.060183316,1.2036663,-0.9027498,-7.643281,1.0832996,1.6851329,1.5647662,1.7453161,-2.0462327,-3.9720988,0.3610999,5.536865,-1.6851329,1.5045829,-2.4073327,-2.3471494,-3.8517323,-2.4073327,0.24073327,2.5276992,5.5970483,3.9720988,1.5647662,-2.3471494,-1.2036663,2.4073327,-2.9489825,-2.2267828,5.837782,1.0231164,2.9489825,0.6620165,-0.3610999,-0.3610999,-3.610999,3.9119155,-0.5416498,0.12036663,-2.0462327,4.8146653,2.5878825,4.393382,-1.4443996,-1.2638496,1.6249496,3.430449,-0.60183316,1.0231164,2.1665993,5.536865,1.143483,-3.430449,-0.84256643,-1.8656828,5.717415,0.3610999,-0.48146653,-0.60183316,-2.9489825,-3.791549,-2.8887992,1.5045829,-1.6851329,5.115582,-0.5416498,1.2638496,-2.648066,-0.9027498,-0.42128322,1.2036663,-4.3331985,-0.96293306,1.9860494,-1.6851329,-1.5045829,4.393382,-0.5416498,-4.9952154,-4.3331985,-3.9720988,-4.9952154,-1.5045829,4.573932,2.5878825,3.610999,3.1897159,2.1665993,0.48146653,2.4073327,2.0462327,-0.9027498,-1.0231164,0.30091658,-0.5416498,1.8656828,-5.4164987,-5.356315,0.42128322,-1.8054996,-6.3794317,3.4906323,-4.874849,1.5045829,1.5045829,2.286966
POINT (-61.222434 -9.995869),C51L34,CORTE SELETIVO,2024,2.6241226,-1.4760691,1.8040844,3.170815,2.8974688,0.98404604,-1.4213998,3.2254841,0.054669224,3.6081688,1.0933845,1.7494152,-2.678792,-3.5534995,1.2027229,2.186769,-3.2254841,3.0614765,-0.2186769,1.5854075,0.4373538,0.8747076,0.27334613,-1.0933845,4.9748993,3.2801535,-6.9429913,3.0068073,2.186769,0.10933845,4.5922146,-2.186769,-2.4054458,0.2186769,-0.2186769,1.0933845,2.7334611,-5.5215917,0.0,-2.3507767,-0.54669225,-2.8974688,2.5694535,3.7175071,0.32801533,0.4373538,-0.054669224,-2.3507767,0.49202302,-2.460115,1.4760691,4.7015533,0.65603065,1.8040844,-0.16400766,0.27334613,-2.460115,-0.7653691,5.63093,2.4054458,1.3120613,0.38268456,1.8587536,5.576261,3.2254841,0.65603065,1.6947459,3.8268456,1.2027229,2.0227613,0.27334613,-0.54669225,6.1776223,-1.2027229,-5.63093,-0.98404604,-1.3667306,2.0227613,1.4213998,1.1480536,-2.460115,-3.2801535,-0.32801533,-0.38268456,1.7494152,0.7106999,1.4760691,-0.4373538,0.8747076,-0.054669224,-0.7106999,-3.0614765,-0.49202302,0.54669225,2.5147843,0.65603065,-0.49202302,0.16400766,4.4828763,-0.38268456,-4.646884,-0.7653691,-1.3667306,-0.27334613,2.5147843,4.0455227,3.3348227,2.6241226,1.6400768,0.49202302,1.9680921,-1.5854075,0.49202302,-1.3120613,2.460115,-0.8200384,-2.460115,0.4373538,-4.7015533,-6.9429913,0.49202302,-2.8427997,-6.614976,3.8815148,-1.5854075,0.8200384,3.3894918,1.0387152
POINT (-61.222607 -9.995821),C51L34,CORTE SELETIVO,2024,4.6295586,-2.6234164,2.2119002,1.4403071,2.4176583,0.97735125,1.337428,0.72015357,0.97735125,4.7324376,0.15431862,0.87447214,-4.115163,-1.903263,-0.36007679,0.20575815,-3.0349329,2.4690979,-2.006142,3.240691,0.56583494,0.36007679,-0.36007679,-1.903263,5.55547,1.903263,-5.7612286,3.4978886,0.72015357,0.56583494,3.240691,-3.240691,-2.5205374,0.4115163,0.97735125,-0.4115163,3.446449,-5.709789,0.4115163,-1.0802304,0.25719768,-3.0349329,1.7489443,0.668714,0.72015357,-1.0802304,2.006142,-2.9320538,-0.97735125,-5.658349,1.1831094,2.9834933,0.51439536,1.2859885,-0.4115163,-0.7715931,-4.2180424,-1.0287907,5.0925145,0.97735125,1.5946257,1.337428,1.6460652,5.349712,2.5205374,3.909405,2.1090212,3.806526,1.6460652,2.6234164,0.7715931,-0.8230326,4.2180424,-1.8518233,-5.5040307,-2.0575814,0.56583494,0.92591166,1.0802304,-1.6975048,-3.2921305,-3.137812,-2.674856,-0.7715931,-0.15431862,0.25719768,1.4403071,0.30863723,0.25719768,0.36007679,-0.92591166,-2.4690979,-0.61727446,0.4115163,3.3950095,2.0575814,-0.30863723,1.7489443,4.6295586,0.20575815,-4.9896355,-2.1604607,-1.8003838,-0.46295583,3.240691,3.3950095,2.3662188,2.3662188,2.6234164,0.56583494,2.1604607,-1.8003838,-0.30863723,-0.51439536,3.2921305,-0.51439536,-3.4978886,1.5946257,-4.6295586,-4.783877,-0.15431862,-2.571977,-6.532821,3.3950095,-2.2633398,-0.56583494,3.9608445,-0.20575815
POINT (-61.22254 -9.995766),C51L34,CORTE SELETIVO,2024,3.6260643,-1.8896391,2.4514236,3.0642796,1.3789258,0.15321398,-1.7364252,3.9835634,1.1235693,1.8385677,2.196067,1.5321398,-2.4003525,-3.0132084,1.6853538,2.655709,-3.4728503,1.1746405,-0.9703552,1.8385677,2.4514236,-0.15321398,1.3278545,0.25535664,5.107133,3.6771355,-4.9028473,5.158204,1.5321398,-0.8682126,2.6046376,-2.655709,-3.6260643,1.4810685,-2.196067,1.2767832,1.9407104,-6.077488,0.051071327,-2.4003525,-0.20428531,-3.0132084,1.9917817,2.7578516,-0.7660699,1.2767832,1.4810685,-3.4728503,0.5617846,-3.7282069,1.2257118,3.9324923,-0.30642796,1.9407104,-0.6128559,1.6853538,-3.0642796,-0.5617846,6.4860587,3.6771355,0.051071327,0.5617846,3.2174935,5.260347,1.4299972,1.4810685,1.4810685,3.3707075,2.4003525,3.421779,-0.15321398,-1.1235693,6.230702,-0.7149986,-3.268565,-3.8814209,0.051071327,1.5832112,2.4514236,1.3789258,-2.962137,-3.6260643,0.6128559,0.40857062,2.1449957,-1.4299972,-0.15321398,-1.1235693,2.4003525,0.8682126,-1.3789258,-2.502495,0.25535664,1.0724978,3.1664224,0.81714123,1.2767832,1.3278545,4.5964193,1.7874964,-4.698562,1.0214266,-2.2982097,0.9703552,1.4299972,4.187849,2.9110656,3.0132084,2.0939245,0.9703552,2.9110656,-2.2982097,1.8385677,-1.4299972,3.421779,-0.7149986,-1.7364252,1.6342825,-4.7496333,-5.719989,-0.25535664,-3.6260643,-4.187849,2.9110656,-1.7874964,1.0214266,5.362489,-0.3574993
POINT (-61.223171 -9.994068),C51L34,CORTE SELETIVO,2024,3.4657633,-4.438609,1.2160573,4.3170033,0.97284585,1.4592688,0.7904373,2.0064945,0.912043,4.864229,-2.1281004,-0.60802865,-4.560215,-3.3441577,-0.12160573,-0.060802866,-2.9185376,2.6145232,-0.8512401,3.0401433,0.1824086,1.1552545,-0.1824086,-0.30401433,6.3843007,3.4657633,-5.107441,2.3713117,1.0336487,1.4592688,2.675326,-2.0672975,-2.0672975,0.60802865,-0.6688315,0.3648172,2.4929175,-4.3170033,-0.3648172,-2.5537205,-0.912043,-3.9521863,3.4657633,1.9456917,-1.7024802,0.30401433,1.0944515,-1.337663,1.7024802,-1.0944515,2.5537205,4.3170033,-0.5472258,1.6416774,0.7904373,0.0,-4.985835,-1.9456917,3.8913834,0.912043,2.310509,-0.12160573,2.249706,3.5265663,1.2768602,1.3984659,1.4592688,2.9185376,1.337663,2.310509,-0.24321146,-0.6688315,4.073792,-2.5537205,-5.2898493,-0.3648172,0.7296344,1.2160573,0.8512401,-0.1824086,-2.8577347,-4.195398,-3.4657633,-0.42562005,1.7632831,0.48642293,1.2160573,-1.5200716,1.4592688,-0.24321146,-0.48642293,-3.2225518,-0.48642293,1.0336487,2.9185376,1.8848889,-1.0336487,2.736129,4.256201,-0.3648172,-4.621018,-1.0336487,0.24321146,0.1824086,3.4049604,3.4657633,2.249706,-1.0944515,1.2768602,0.8512401,0.48642293,-3.1617491,-1.9456917,-0.7904373,3.0401433,0.912043,-2.249706,1.1552545,-4.499412,-6.3843007,1.3984659,-2.3713117,-7.721964,2.6145232,-3.0401433,-2.675326,0.48642293,0.1824086
POINT (-61.224714 -9.989664),C51L34,CORTE SELETIVO,2024,1.7322335,-1.9422013,3.0970237,1.8372175,1.417282,-0.4199354,0.052491926,4.0943704,1.3122982,2.4671204,0.5249193,-0.47242734,-4.146862,-3.2020075,0.6299031,1.6797416,-2.7295802,1.6797416,-0.73488694,1.3647901,0.7873789,0.15747577,0.68239504,-0.31495154,5.0392246,2.9920397,-5.406668,4.724273,1.0498385,0.47242734,2.3621366,-2.9920397,-3.7269268,0.9448547,-0.9973466,0.15747577,3.0970237,-6.6664743,-0.26245964,-2.5721045,-0.8398708,-3.516959,2.2571528,2.7295802,0.15747577,0.5774112,0.2099677,-3.1495156,0.0,-2.2571528,1.3647901,5.826604,0.052491926,1.7322335,-0.8398708,0.4199354,-3.3069913,-1.3647901,5.564144,2.8870559,0.6299031,-0.10498385,2.6770883,4.986733,2.2571528,0.10498385,1.8372175,3.8844025,2.0471852,3.7269268,0.68239504,-0.9448547,5.564144,-2.099677,-4.041878,-2.152169,-0.5249193,1.7322335,2.5196123,0.73488694,-1.8372175,-3.3069913,-1.5747578,0.10498385,2.3621366,0.5249193,0.2099677,-1.6797416,0.73488694,-0.31495154,-0.68239504,-2.0471852,0.47242734,0.5249193,2.7295802,1.3647901,0.052491926,0.8398708,4.409322,0.31495154,-4.4618134,-0.5249193,-0.68239504,-0.8923627,1.7322335,4.829257,1.8897094,3.8319106,2.204661,1.3122982,2.3621366,-3.2020075,-0.7873789,-1.7322335,3.1495156,0.5249193,-1.3122982,0.9973466,-4.304338,-6.508999,-0.68239504,-3.674435,-5.3016844,3.0445316,-2.6245964,-0.10498385,3.0970237,-1.2073143
POINT (-61.249164 -9.982261),C51L34,CORTE SELETIVO,2024,1.9087267,-2.9994278,3.5447783,1.4179113,1.8541917,-0.27267525,0.27267525,1.5269814,1.6360515,5.453505,-0.1090701,-0.05453505,-2.7812874,-2.9448926,1.4724463,1.145236,-3.326638,2.5086124,-2.9448926,1.7996566,0.49081546,0.8725608,0.4362804,-0.16360515,5.2899,0.05453505,-6.326066,1.9632618,2.6722174,0.3272103,3.163033,-2.235937,-2.290472,-0.92709583,2.4540772,-0.5998855,2.8358226,-3.1084979,-1.3633763,-2.6176825,-1.145236,-1.9087267,2.9448926,3.7083833,2.4540772,0.3272103,-0.8725608,-1.8541917,2.3450072,-4.8536196,1.4724463,5.1262946,-0.5998855,3.0539627,1.2543062,-0.81802577,-3.1084979,-1.199771,4.9626894,1.6360515,2.8358226,0.2181402,1.9087267,4.090129,3.5447783,2.7812874,0.0,2.5631473,3.7083833,0.27267525,1.4724463,1.5269814,4.9626894,-2.290472,-2.9994278,0.4362804,-0.70895565,4.308269,0.70895565,-1.9087267,-2.181402,-3.7083833,-3.9810586,-1.7996566,1.5815165,-0.16360515,2.181402,-0.49081546,1.9632618,-1.090701,-1.036166,-0.70895565,0.05453505,-1.5269814,0.70895565,1.2543062,-2.399542,0.5998855,5.8352504,-1.2543062,-4.8536196,-1.8541917,-4.417339,-3.7083833,1.5815165,4.417339,0.92709583,2.9994278,3.8719885,0.70895565,1.9087267,-0.49081546,-1.2543062,-0.5998855,0.9816309,-1.145236,-2.4540772,-0.05453505,-5.1808295,-4.8536196,-1.145236,-2.5631473,-6.9259515,4.471874,-3.9810586,0.3272103,1.090701,0.3272103
